"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2021","0.007872","0.007730","0.008136","0.007640","168.93B","1.83%"
"May 07, 2021","0.007730","0.007912","0.009161","0.007342","294.85B","-2.40%"
"May 06, 2021","0.007920","0.007247","0.008333","0.006932","273.54B","9.30%"
"May 05, 2021","0.007246","0.006362","0.007401","0.006298","199.65B","13.85%"
"May 04, 2021","0.006365","0.006949","0.006954","0.006287","118.78B","-8.41%"
"May 03, 2021","0.006949","0.006983","0.007152","0.006854","82.56B","-0.49%"
"May 02, 2021","0.006983","0.007229","0.007288","0.006833","53.58B","-3.38%"
"May 01, 2021","0.007228","0.007249","0.007427","0.007042","69.56B","-0.32%"
"Apr 30, 2021","0.007251","0.006890","0.007302","0.006795","74.77B","5.23%"
"Apr 29, 2021","0.006890","0.007080","0.007118","0.006726","66.33B","-2.69%"
"Apr 28, 2021","0.007080","0.007384","0.007607","0.006744","95.21B","-4.14%"
"Apr 27, 2021","0.007386","0.007038","0.007833","0.006879","139.38B","5.01%"
"Apr 26, 2021","0.007034","0.006404","0.007156","0.006340","109.74B","9.95%"
"Apr 25, 2021","0.006397","0.006680","0.006896","0.005843","94.23B","-4.29%"
"Apr 24, 2021","0.006684","0.007163","0.007842","0.006471","215.05B","-6.50%"
"Apr 23, 2021","0.007148","0.006280","0.007164","0.004349","280.47B","13.82%"
"Apr 22, 2021","0.006280","0.007553","0.007702","0.006067","112.79B","-16.85%"
"Apr 21, 2021","0.007552","0.007919","0.008085","0.007508","59.89B","-4.84%"
"Apr 20, 2021","0.007936","0.007720","0.008283","0.007050","141.61B","2.72%"
"Apr 19, 2021","0.007726","0.008028","0.008264","0.007420","129.08B","-3.71%"
"Apr 18, 2021","0.008024","0.009148","0.009203","0.006989","175.51B","-12.44%"
"Apr 17, 2021","0.009164","0.007717","0.010862","0.007715","416.60B","18.74%"
"Apr 16, 2021","0.007718","0.008203","0.008382","0.007192","144.43B","-5.82%"
"Apr 15, 2021","0.008195","0.007642","0.008647","0.007421","153.62B","7.26%"
"Apr 14, 2021","0.007641","0.008140","0.008159","0.007039","131.85B","-6.18%"
"Apr 13, 2021","0.008144","0.007978","0.008572","0.007564","124.35B","2.13%"
"Apr 12, 2021","0.007974","0.008440","0.008580","0.007912","84.23B","-5.49%"
"Apr 11, 2021","0.008437","0.008574","0.008941","0.007864","126.37B","-1.63%"
"Apr 10, 2021","0.008577","0.009119","0.009120","0.008101","112.57B","-5.95%"
"Apr 09, 2021","0.009120","0.009685","0.009950","0.008788","97.69B","-5.83%"
"Apr 08, 2021","0.009685","0.007914","0.009853","0.007847","179.17B","22.49%"
