"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2021","44.00990","43.00140","44.00990","43.00140","279.35K","2.35%"
"May 07, 2021","43.00140","43.44600","43.44600","43.00140","284.87K","-1.02%"
"May 06, 2021","43.44600","44.88330","44.88330","43.44600","276.99K","-3.20%"
"May 05, 2021","44.88330","42.70500","44.88330","42.70500","285.33K","5.10%"
"May 04, 2021","42.70500","45.90360","45.90360","42.70500","280.59K","-6.97%"
"May 03, 2021","45.90360","46.91280","46.91280","45.90360","297.97K","-2.15%"
"May 02, 2021","46.91280","49.60970","49.60970","46.91280","306.79K","-5.44%"
"May 01, 2021","49.60970","42.96670","49.60970","42.96670","295.74K","15.46%"
"Apr 30, 2021","42.96670","42.60140","42.96670","42.60140","282.99K","0.86%"
"Apr 29, 2021","42.60140","44.97630","44.97630","42.60140","287.20K","-5.28%"
"Apr 28, 2021","44.97630","43.26250","44.97630","43.26250","274.36K","3.96%"
"Apr 27, 2021","43.26250","43.89100","43.89100","43.26250","194.90K","-1.43%"
"Apr 26, 2021","43.89100","47.50720","47.50720","43.89100","278.36K","-7.61%"
"Apr 25, 2021","47.50720","40.69080","47.50720","40.69080","236.00K","16.75%"
"Apr 24, 2021","40.69080","37.07200","40.69080","37.07200","304.20K","9.76%"
"Apr 23, 2021","37.07200","38.87790","38.87790","37.07200","288.85K","-4.65%"
"Apr 22, 2021","38.87790","32.39760","38.87790","32.39760","280.02K","20.00%"
"Apr 21, 2021","32.39760","31.70960","32.39760","31.70960","292.40K","2.17%"
"Apr 20, 2021","31.70960","31.55950","31.70960","31.15670","267.71K","0.48%"
"Apr 19, 2021","31.55950","32.31220","32.31220","31.55950","298.42K","-2.33%"
"Apr 18, 2021","32.31220","24.87980","32.31220","24.87980","326.03K","29.87%"
"Apr 17, 2021","24.87980","25.38770","26.07550","24.87980","245.91K","-2.00%"
"Apr 16, 2021","25.38770","27.79050","27.79050","25.38770","276.10K","-8.65%"
"Apr 15, 2021","27.79050","26.46030","27.79050","26.46030","121.32K","5.03%"
"Apr 14, 2021","26.46030","27.46700","27.46700","26.46030","285.81K","-3.67%"
